user_id,Action,Adventure,Children's,Comedy,Crime,Drama,Horror,Mystery,Romance,Sci-Fi,Thriller,War
181,1.4655,1.4839,1.4074,1.4015,1.4138,1.5426,1.8667,1.8824,1.7213,1.9048,1.8158,1.7857
184,3.2162,3.1429,3.9091,3.4667,3.4667,3.8794,3.2222,3.7778,3.7910,3.2105,3.3462,3.9048
188,3.7632,3.6667,3.6667,3.4167,3.7273,3.9545,3.5000,3.4000,3.7273,3.7500,3.9118,3.9444
189,3.6897,3.9474,4.1875,3.8085,3.6000,3.9896,4.3333,4.0667,4.0196,4.2667,3.7742,4.1905
193,2.9459,2.8750,3.3333,3.1190,3.1538,3.6579,2.1250,2.2500,3.5172,2.1111,2.7931,4.0000
194,2.7353,2.5319,2.6774,2.8218,3.1500,3.1984,2.7778,3.1000,2.8000,2.3333,3.2750,3.3429
195,3.0278,3.2143,3.1667,2.8889,4.4000,3.7500,3.0000,4.0000,3.8824,3.1176,3.2308,4.0000
198,3.2143,3.2812,3.2500,2.9592,3.3846,3.5139,3.5385,3.4286,3.2727,3.5161,3.0750,3.7000
200,4.2025,4.1228,3.9524,3.7115,3.7000,4.1148,4.4000,3.7500,4.1111,4.3721,4.0200,4.2941
201,2.8506,2.6923,3.1667,3.0714,3.2439,3.1224,2.7317,3.5882,2.9661,2.8000,3.0326,2.9677
207,3.1053,3.1111,3.0000,3.2500,3.1739,3.4100,3.3333,3.0000,3.1373,2.9412,3.0196,3.5789
210,4.1429,4.2941,3.9286,3.8644,4.5556,4.2727,4.2857,4.6000,4.1613,4.1579,4.2632,4.2000
213,4.1111,4.3043,3.8000,4.0333,4.7857,4.3571,4.3333,4.2500,4.4783,3.8500,4.3529,3.9565
214,3.5217,3.7000,4.6667,3.8485,4.0526,3.9855,4.0000,3.9091,3.5667,3.6667,3.9200,3.7273
216,3.7333,3.5294,3.5000,3.4259,4.0714,4.2281,3.5714,3.7500,3.7273,3.6667,4.1250,4.3000
221,3.6296,3.4615,2.6667,3.4468,4.2381,3.8936,3.2500,3.3333,3.9048,3.3913,3.6250,3.8889
222,3.2696,3.0806,2.1163,2.7328,3.5517,3.3828,2.5556,3.5385,3.3443,3.3654,3.4872,3.5185
223,3.5000,2.9167,3.5714,3.0667,2.6667,2.6774,2.5000,2.8333,3.4348,2.5714,3.0357,3.6000
230,3.8485,3.9200,4.0833,3.5000,3.2857,4.0800,3.2000,3.4000,4.0370,3.6250,3.9545,4.0588
234,2.8769,2.9800,2.8571,3.0769,2.9091,3.2300,3.0000,3.5385,3.1064,2.9355,3.0253,3.5000
236,3.1429,3.3125,3.9000,2.9643,3.3750,3.8387,3.6000,3.4286,3.6667,2.6429,3.1786,4.0000
239,3.8947,4.0000,3.8333,4.0000,4.1000,4.2632,4.1111,4.4615,4.0000,4.3529,4.2727,3.5238
244,3.1277,3.4000,4.1250,3.5842,3.8750,3.8900,4.1250,3.7500,3.9400,3.6818,3.2903,3.5000
246,2.6667,2.7949,3.0500,2.8261,2.4444,3.0682,3.7500,3.4000,2.9688,3.1892,2.8958,3.7692
249,3.7818,3.4167,3.5000,4.0000,4.4583,4.3607,3.6667,4.3333,4.2222,3.9259,4.0816,4.0000
250,3.3600,3.5833,4.2667,3.4412,4.0000,4.0714,3.2857,3.7500,3.9000,3.6000,3.6842,3.7143
253,4.0333,4.0000,4.0000,3.8889,3.8889,4.1111,3.8333,3.6667,4.2381,3.9000,3.9259,4.5000
254,3.5909,3.4600,2.9423,2.6190,2.4000,3.3958,2.4286,3.6667,3.5294,3.5862,3.0667,3.6667
256,3.9315,3.9167,4.4444,3.9123,3.6667,4.0735,3.8000,4.3333,4.0364,4.0000,4.1408,4.2727
263,3.8000,4.1579,4.1333,4.2000,4.5000,4.3273,4.3333,3.2500,4.0476,3.8824,3.4483,4.3043
267,3.8514,3.7143,2.8000,3.6667,4.2500,4.2800,3.6667,4.2500,4.0000,3.9487,3.9800,4.3333
268,2.8673,2.9818,2.7619,2.8220,3.1379,3.2895,2.4815,3.3750,3.1163,3.0980,2.9302,3.8500
269,1.9216,2.1481,2.3571,2.7000,3.0323,3.4189,2.5556,3.4737,2.7627,2.6389,2.8491,3.0000
271,3.5556,3.7586,3.2143,3.3678,3.7500,3.7985,3.8333,3.7333,3.6441,3.3333,3.5957,4.1212
276,3.3038,3.3421,3.6757,3.3861,3.7500,3.7083,3.3830,3.5652,3.5625,3.6154,3.4519,4.0000
279,3.5259,3.4833,3.1250,3.4550,2.7857,2.9495,3.1053,3.4167,2.8154,3.5600,3.4915,3.1250
280,3.0685,3.0513,3.6875,3.6747,3.6667,3.7356,3.4167,3.8571,3.5926,3.1290,3.5000,3.5500
286,3.5472,3.5385,3.9259,3.6565,3.9524,3.8469,4.0667,4.0000,3.8033,3.4412,3.6585,3.6364
290,3.4151,3.2791,3.3929,3.3478,2.6667,3.4419,3.0000,3.2000,3.8750,3.5152,3.2593,3.6364
291,3.6538,3.8485,3.8182,3.5591,4.0370,3.9551,3.5000,3.2727,3.9722,3.4848,3.7000,3.9286
292,4.0263,4.1053,4.4000,4.1739,4.5000,4.3125,3.6000,4.2500,4.0000,3.9000,4.2703,4.5000
293,2.7128,2.8500,3.1500,2.8198,3.4444,3.1939,3.3529,3.3889,2.9178,3.0435,2.8854,3.5517
294,3.4483,3.4615,4.7500,3.5122,3.3810,3.6750,3.3000,3.4667,3.7917,3.7727,3.2545,4.3077
295,3.9375,4.2286,4.0741,4.2537,4.1111,4.5342,3.5000,4.5000,4.4490,3.8333,3.7500,4.4706
297,3.1600,3.3636,2.9286,3.3065,3.7895,3.7313,3.5000,3.7778,3.5789,3.2609,3.5000,3.3333
298,4.2308,4.2500,3.9565,3.9744,4.6000,4.1176,3.5000,4.4000,3.6786,4.0000,3.8000,4.3810
299,3.1538,3.1905,3.1250,3.3551,3.4211,3.5714,2.8889,3.9000,3.5068,3.3000,3.4634,3.8000
301,3.6082,3.5686,3.3913,3.4082,3.4783,3.5610,3.4615,3.4000,3.4419,3.5217,3.4677,3.7586
303,3.0781,3.2373,3.4242,3.3804,3.6316,3.6776,3.5862,3.6000,3.5882,3.3115,3.2264,3.9231
305,3.0000,3.1538,3.1667,3.5821,3.0556,3.4912,3.2500,3.2727,3.4583,3.3600,3.2308,3.5000
308,3.6053,3.6047,3.7200,3.8651,3.9459,3.6994,3.7037,3.7895,3.6818,3.8250,3.7439,3.7667
311,3.9296,3.9783,3.5000,3.6364,3.7000,3.9444,3.4167,4.0000,3.6923,4.0323,3.6923,3.9655
312,4.0312,4.2917,4.1667,4.1552,4.5000,4.4062,4.8750,4.7647,4.5319,4.0952,4.5135,4.4062
313,3.6029,3.3571,3.2821,3.2740,3.5789,3.6588,3.5000,4.3125,3.4419,3.8182,3.8475,4.0968
314,3.6471,3.9048,4.2286,3.4955,3.7143,3.7582,4.0000,4.2000,3.5667,4.3333,3.7143,4.4000
318,3.4783,3.3333,3.4706,3.5833,3.7647,3.8101,2.6667,3.7143,3.8108,3.4444,4.0909,3.4667
320,3.7467,3.7188,3.5000,3.6977,4.0000,3.6538,3.7857,3.7500,3.8333,3.7333,3.8039,4.2222
324,4.3571,3.6000,4.5000,4.5333,4.3750,4.2581,4.6667,4.4000,4.2222,4.7143,4.4211,4.6000
325,2.8621,3.0476,2.9091,3.2143,3.4444,3.5484,3.4286,4.1250,3.6000,3.4500,3.2105,3.8636
326,3.3571,3.7500,3.3636,3.0800,2.3333,3.1639,3.2917,3.8182,3.1935,3.4643,3.4375,3.7727
327,3.0462,3.3462,3.8000,3.3100,3.1600,3.5752,3.3333,3.0000,3.2632,2.9062,2.9310,3.3478
328,3.4184,3.4000,3.3000,3.1304,3.1613,3.5778,3.3846,3.3333,3.7045,3.3333,3.4186,4.2051
330,4.5000,4.6250,4.4615,4.4340,4.1429,4.5849,4.1667,4.5000,4.7714,4.4286,4.3182,4.6250
332,4.4286,4.4324,4.2000,4.0000,4.4706,4.1429,4.4000,4.1765,4.2273,4.1562,4.0519,4.4615
334,3.2203,3.2059,3.5333,3.4526,3.7407,3.6092,3.2143,3.9091,3.4533,3.3056,3.5000,3.4074
339,3.5667,3.7037,3.5455,3.8108,4.1000,4.2545,3.7333,4.5000,3.9744,3.5833,3.7200,4.2069
342,2.7500,2.8000,4.2000,3.4217,4.1111,3.3824,4.2500,3.1429,3.0000,3.7000,3.5357,3.2000
343,3.5714,3.7407,4.0000,4.1290,4.3000,4.2521,2.6250,3.9091,3.8095,3.9655,3.5208,4.2800
344,3.5250,3.5217,3.9000,3.5574,3.8333,3.6988,3.8000,3.8750,3.4800,4.0556,3.7436,3.5714
345,3.5128,3.7895,3.6250,3.6429,3.7333,3.7200,3.4000,3.9000,3.7059,3.6364,3.3617,3.6875
346,3.5679,3.7188,2.6364,2.7174,3.5652,3.3385,2.0000,3.6250,3.6429,3.4231,3.6066,4.2857
347,3.6400,3.5000,3.4000,3.2407,4.3684,3.8356,3.4286,3.6250,3.5806,3.6154,3.7273,3.9474
363,3.0808,3.1136,3.2143,3.1957,3.2258,2.9167,2.9697,2.9412,3.2000,3.2500,3.1059,3.6500
373,3.6140,3.7143,3.7000,3.7229,3.1818,3.6889,3.5000,3.2000,4.0377,3.4783,3.5172,3.9500
374,3.4353,3.3913,2.8571,2.8169,3.1818,3.5155,3.2857,3.6667,3.4500,3.3590,3.5814,3.7143
378,3.3371,3.3208,3.5676,3.1880,3.5455,3.5824,3.2222,3.3636,3.4937,3.3947,3.3333,3.7407
379,3.8846,3.8125,3.5333,3.8611,4.6364,4.2222,3.4375,4.5000,3.9394,3.8667,4.0938,4.3500
380,3.0588,3.3000,3.0909,2.8780,4.0000,3.3590,2.5455,3.3333,3.4286,2.8077,3.1429,3.2692
381,3.1765,4.0000,3.9000,3.9630,2.7500,3.8571,2.7500,3.6364,4.0606,4.1000,3.2500,4.1818
385,2.5682,2.5185,2.8333,3.1818,3.3077,3.4553,2.8235,4.0714,2.9167,2.7778,3.5366,2.9583
387,3.2603,3.3902,2.7619,3.2410,3.6562,3.4310,3.0000,3.7778,3.0789,3.5116,3.4737,3.6875
388,4.4286,4.4000,4.0000,3.6250,3.8333,4.1500,4.4545,4.1667,3.8000,4.2000,4.2727,4.6667
389,3.5625,3.6316,3.7917,3.4250,4.0556,3.9118,3.5455,4.0000,3.8226,3.7895,3.6216,4.2381
391,3.6538,3.6154,3.3333,3.9565,4.2143,3.8030,3.5000,3.7778,3.7143,2.8182,3.3462,3.8824
393,3.3952,3.3425,3.3036,3.2251,3.1667,3.4519,3.0000,3.7333,3.4605,3.3654,3.3929,3.6818
397,3.6538,3.4000,2.3000,3.0417,3.9375,4.1064,3.4000,3.5000,3.8667,4.0667,3.7857,4.5455
398,3.9091,4.0370,3.7143,3.4384,3.4615,3.7143,4.0000,3.7500,3.8718,3.8421,3.7391,4.1667
399,2.9175,2.9333,3.1220,2.8140,3.0741,3.1359,2.3500,3.2000,2.9767,2.4286,2.9412,3.2609
405,1.9918,1.8904,2.0390,1.9640,2.0732,1.8608,1.8167,2.0952,1.9364,2.1111,2.0303,2.1282
406,3.4906,3.5278,3.9412,3.1165,3.8000,3.6026,3.2500,3.7692,3.3500,3.8056,3.7021,4.0000
407,3.4194,3.5676,3.6667,3.4066,3.6000,3.6087,3.5000,3.8182,3.4103,3.5294,3.5526,3.5500
409,2.9375,3.1579,2.7500,3.5370,3.4444,3.7822,2.2000,3.9375,3.6842,4.0000,3.6667,3.8000
416,3.9358,4.0656,3.4167,3.6582,3.7250,4.0189,3.5652,3.9500,3.9550,3.9375,3.7822,4.1562
417,3.0935,3.1636,3.3929,3.2913,3.4828,3.5566,2.9444,3.0000,3.4062,2.9508,3.1139,3.8462
422,3.4800,3.6364,3.6667,3.4444,3.5000,3.4286,3.3667,3.4444,4.2222,3.3684,3.2593,3.5714
425,2.8559,2.9762,1.5000,2.9667,3.8000,3.0185,2.9643,3.2727,2.8400,3.3478,2.9315,3.0000
426,3.6250,3.8000,3.4000,3.5769,3.5556,4.0000,3.8000,4.1818,4.0000,3.8333,4.0909,4.0667
429,3.2929,3.2105,2.7500,3.3333,3.5862,3.5509,3.1071,3.8333,3.4444,3.3171,3.3014,4.0625
435,3.3982,3.2879,2.6333,3.2656,3.7241,3.5192,3.2093,3.6429,3.5833,3.4394,3.4222,3.7241
436,3.7600,3.2857,3.1667,3.7600,4.3333,3.9385,3.4545,4.0000,3.7333,3.5000,3.7353,3.7500
437,2.9730,3.5652,3.8621,3.7439,2.6667,3.7350,3.3125,4.3750,3.7846,3.2727,2.8667,3.6111
447,3.4884,3.3810,3.5000,3.3095,3.8750,3.7500,3.3333,3.4000,3.4000,3.8333,3.7619,3.9444
450,3.8261,3.7188,3.6800,3.6667,3.9706,3.9958,3.6842,3.9615,3.9832,3.8293,3.9091,4.0244
451,3.1765,2.5714,2.2500,2.6538,3.0000,2.4737,3.0000,3.8182,2.8235,3.4000,3.5862,2.8333
452,3.5000,3.5357,2.9545,3.2031,3.5000,3.4659,3.3333,4.0000,3.6512,3.9048,3.6364,3.8462
455,3.5439,3.6207,3.5000,3.2564,3.5333,3.5960,3.7000,3.6667,3.5000,3.7931,3.4889,3.8947
456,3.1042,3.1500,3.1000,3.2333,3.3810,3.6421,3.0769,3.7500,3.6750,3.3182,3.4634,3.6875
457,4.0000,4.1220,4.1176,3.5747,4.2667,4.3362,4.0000,4.1667,4.0545,4.0465,4.0612,4.4800
458,3.4138,3.1818,3.8889,3.5641,4.0000,3.7449,3.8000,4.0909,3.7143,3.2667,3.5135,3.4444
462,3.5556,2.7500,2.6667,3.8571,3.7500,4.2500,4.6667,5.0000,4.6667,2.0000,4.0769,3.5000
472,4.5149,4.3175,3.4595,4.2025,4.8667,4.3000,4.3810,4.2857,4.6842,4.4821,4.2969,4.6875
474,4.1667,4.3235,3.8750,3.8675,4.3750,4.2048,3.8182,4.5238,3.9091,4.2000,4.1803,4.4857
478,2.6190,2.6667,3.8000,3.3750,3.1111,3.6341,3.4000,3.0000,3.5909,2.5556,3.1667,3.4000
479,3.3867,3.3556,2.7333,3.3585,3.7778,3.6212,4.1000,3.2500,3.5500,3.4737,3.3137,3.9310
486,2.9091,3.0000,3.0000,3.1837,3.4762,3.3261,3.3333,3.4000,3.2727,3.1176,2.7959,3.4615
487,3.5952,3.5833,3.5556,3.4308,3.8571,3.9167,3.8000,2.8750,3.9130,3.7500,3.6667,3.8333
488,3.4545,3.5600,3.0000,3.1714,3.1111,3.4648,3.3333,3.2222,3.3333,3.5500,3.2000,3.5833
489,4.0357,4.2727,3.2500,3.0370,3.9167,3.6579,4.1000,3.7143,3.3571,4.1818,4.5000,3.8333
493,3.8364,3.7826,3.5714,3.7297,3.6923,3.8696,4.3333,3.2857,3.7333,3.7419,3.6579,4.1765
495,3.9296,4.0000,3.6786,3.7538,3.9333,4.1964,3.8929,3.3333,3.7812,3.9500,3.8780,4.2778
496,3.0938,2.7917,2.3810,2.7500,3.6667,3.2115,3.3333,2.7143,3.6818,3.1200,2.8000,4.2500
497,3.2991,3.2500,2.8621,3.0561,3.6667,3.4182,2.7273,3.1111,3.4444,3.3654,3.4262,3.7143
498,2.8966,2.8571,2.5000,3.4375,3.4375,3.3429,3.6250,3.7500,3.1667,3.1250,3.2432,3.2857
499,3.5714,3.7333,3.2000,3.8519,3.7500,4.1064,4.0000,4.5000,3.9412,3.6000,4.0000,3.8947
500,3.1707,2.9630,2.4167,3.3462,3.8182,3.4074,3.6000,4.0000,3.2923,3.4483,3.2500,3.3125
503,4.0333,3.9286,4.5000,3.8636,3.9286,4.1279,4.3333,4.1250,4.0196,4.2000,4.0690,4.4444
504,3.7143,3.6957,3.4138,3.2436,3.7333,3.9519,3.5000,3.8571,3.5641,3.5000,3.8824,3.8235
505,3.3636,3.5200,3.1818,3.2692,2.2857,3.4444,3.3333,3.6667,3.5385,3.1579,3.6154,3.8750
506,3.6623,3.8333,3.6538,3.6154,3.8500,3.6143,4.0000,3.7895,3.7000,3.9375,3.7167,4.3125
507,4.9333,4.8462,4.6667,4.1818,5.0000,4.7692,5.0000,4.8571,4.7778,4.9167,4.8929,4.8571
514,3.6977,3.6087,3.8889,3.8333,3.7500,3.9518,3.2857,3.5455,3.8511,4.2400,3.8276,4.0000
521,3.1029,3.1081,2.8889,3.0638,3.4000,3.3243,2.8333,2.8571,3.2174,3.4706,3.1087,3.3333
524,3.3448,3.1000,2.4000,3.3864,4.0385,3.6385,3.8333,3.6842,3.4286,3.0645,3.5667,3.7500
527,4.0000,4.0000,2.6000,3.7241,4.0000,3.8205,4.2857,3.3636,3.5769,3.6667,3.6538,3.9474
532,4.1728,4.3111,4.4167,3.7439,4.1200,4.4211,3.9167,3.8182,4.2750,3.7812,4.1774,4.4706
533,3.6615,3.6944,3.4000,3.0723,3.4286,3.5089,2.7500,3.5714,3.5085,3.6129,3.4754,3.6333
534,4.1429,4.0000,3.6000,4.0690,4.6000,3.8696,4.3333,4.0000,3.8750,3.7500,4.2759,4.2000
537,2.4416,2.5682,1.7917,2.7154,2.9737,3.0996,2.5000,2.9200,2.9551,2.6047,2.5595,3.0513
543,3.3333,3.0370,3.5000,3.3269,3.5882,3.6747,3.6667,4.2000,3.5854,3.4545,3.6042,3.6000
545,3.5802,3.6000,3.4211,3.3617,3.5000,3.4706,3.4000,4.0000,3.7200,3.8056,3.6667,3.7500
548,4.1200,3.6667,2.0000,3.0000,3.8636,3.4925,3.8000,4.0769,3.5000,4.1250,4.0448,3.9231
551,3.7573,3.9750,3.6250,3.2907,4.0606,4.1328,3.7143,4.0556,3.6491,3.6098,3.8333,3.7037
560,3.1538,3.3333,3.5000,3.0968,4.2857,3.5128,3.4000,3.7500,3.7059,3.4762,3.5000,3.6364
561,2.6533,2.7179,2.3333,2.8515,3.3929,3.2194,2.9048,3.1875,2.8438,2.9250,2.9394,3.0270
566,3.1500,2.7619,2.1111,2.9778,3.5833,3.9697,2.7500,3.8333,3.5161,2.9412,3.6296,3.3500
567,3.4615,2.7857,2.6667,4.0303,4.1667,3.8889,4.0000,4.0667,3.8846,3.5417,3.9722,3.7143
577,3.9245,3.8286,3.7200,3.7500,3.4167,3.9844,3.6923,3.6667,4.0000,3.6364,3.7381,4.3750
587,2.5600,2.4444,3.0000,2.6154,3.1250,3.4054,3.2222,2.8000,2.6250,3.5455,3.0606,2.4286
588,3.6792,3.4750,3.8000,3.7317,3.5000,3.7368,3.8182,3.2000,3.8103,3.6000,3.6250,4.2000
592,3.4667,3.3333,3.1500,3.6400,3.9444,4.1235,4.1765,3.8333,3.9138,3.7879,3.6145,4.2273
593,3.5161,3.8000,3.5000,3.5556,3.5000,3.6301,3.7500,3.5000,3.7636,4.1111,3.6552,3.8750
601,3.1892,3.2414,2.6087,2.9024,3.3333,3.2373,2.7857,3.5000,3.5263,3.4444,2.8333,3.6667
606,4.0145,4.0833,4.0400,3.8000,3.9167,4.0964,3.7333,4.1429,4.1500,4.1765,3.9804,4.2174
608,3.2632,2.5000,3.2857,3.4103,3.9091,3.7282,5.0000,4.0000,3.7907,2.2000,4.0323,3.0667
610,3.7500,3.3750,3.7500,3.2667,4.2000,3.8571,4.0000,3.3333,4.1429,3.1818,4.0000,4.0000
618,3.6078,3.5357,3.5200,2.8364,3.5333,3.3333,3.6667,2.5714,3.3019,3.5263,3.3571,3.7500
621,3.6944,3.7742,3.0714,3.3378,3.4000,4.1562,3.8889,4.2000,3.9167,3.9286,3.9375,4.0769
622,3.3896,3.4444,3.3333,3.2703,3.8125,3.7385,3.2500,2.8889,3.5366,3.3864,3.4773,3.8235
624,3.3429,3.5385,3.5000,3.3191,3.7857,3.8413,3.2500,3.6000,3.7857,3.5625,3.3333,3.5833
625,3.5000,3.4211,3.5000,3.3077,3.2500,3.5385,3.0000,3.6000,3.5185,3.8889,3.4800,3.8125
629,4.1613,4.6667,4.6667,3.8800,3.8333,4.2879,4.2500,3.5000,4.3333,4.0000,4.0000,4.3077
632,3.8293,4.0455,3.9167,3.5000,3.3333,3.6383,3.6667,4.0000,3.5357,4.1250,3.5517,4.3077
642,3.8615,3.7000,3.4605,3.7518,3.4000,3.6444,2.6154,3.8000,4.1667,3.8621,3.4286,4.2353
643,3.5167,3.3462,4.1538,3.6757,3.9130,3.9016,4.0000,4.0000,3.5000,3.9545,3.6667,4.1250
648,3.6429,3.5179,3.1200,3.0789,3.0714,3.0000,3.0857,3.7273,3.3333,3.8200,3.5690,3.5769
650,2.9888,3.1724,3.0714,3.0345,2.7895,3.1961,3.2000,3.7500,3.2553,3.2642,3.2203,3.5152
653,3.0909,3.0476,2.2667,2.2556,3.0435,2.7961,2.3529,3.1429,2.7368,2.9773,2.9242,3.3704
655,2.8023,2.6389,2.5455,2.7186,2.9286,2.9829,3.0526,2.7647,2.7724,2.8293,2.8175,3.1190
660,2.5385,2.6863,2.4615,2.5769,2.0714,2.8571,2.3529,3.0000,2.9355,2.6471,2.5106,3.0625
663,3.5556,3.5385,3.1667,3.3421,4.0000,3.6944,3.3750,3.4545,3.3846,3.6429,3.6458,3.7857
665,3.2105,3.2000,3.8182,3.5111,3.6154,3.5636,3.5000,3.4000,3.6667,3.4000,3.3333,3.3125
666,3.4255,3.1786,3.0000,3.5616,3.8261,3.8641,3.6667,3.8889,3.6341,3.4667,3.4667,3.8929
668,3.6000,3.2857,4.0000,3.2308,3.3333,3.4375,3.6667,3.5000,3.8571,3.1250,3.4286,3.5000
